Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
STUD0561,1.0652559710107046,2,0,1,1,0.6287529181607675,0,1,2,1,3,1,1,2,1,1,0,1,0
STUD0562,1.0652559710107046,2,2,5,1,-0.008087878112672791,2,0,2,0,0,0,1,1,0,0,0,5,1
STUD0563,-0.9488757765773448,0,2,3,0,-0.6449286743861131,0,1,4,2,0,0,4,0,0,1,1,2,0
STUD0564,-0.9488757765773448,0,1,0,1,-1.2817694706595533,1,1,5,2,0,0,3,0,1,2,1,2,1
STUD0565,-0.03336134585550418,1,2,3,0,-0.32650827624939294,1,1,6,0,4,0,0,1,1,2,1,0,0
STUD0566,-0.39956711814424045,2,2,6,0,-0.008087878112672791,0,1,4,1,4,0,0,0,1,2,0,3,1
STUD0567,-0.9488757765773448,2,2,4,0,-0.008087878112672791,0,1,4,2,2,1,2,1,0,0,1,3,0
STUD0568,0.6990501987219684,2,1,1,0,-1.2817694706595533,2,0,3,1,0,1,4,1,1,1,1,1,0
STUD0569,-0.5826700042886086,2,0,1,0,-0.32650827624939294,4,0,6,2,2,0,2,0,1,0,0,3,0
STUD0570,-1.6812873211548174,3,0,5,1,-0.9633490725228332,1,0,5,2,1,1,4,1,0,1,1,1,0
STUD0571,-0.39956711814424045,0,1,0,0,-0.9633490725228332,4,1,0,0,2,1,2,2,0,2,1,5,1
STUD0572,1.0652559710107046,1,1,2,1,-1.6001898687962735,4,1,3,1,3,0,0,2,0,1,0,0,0
STUD0573,-0.39956711814424045,1,1,5,1,-1.2817694706595533,3,0,4,0,4,1,3,2,1,0,0,1,1
STUD0574,0.14974154028886394,3,2,6,1,-0.9633490725228332,2,0,4,0,2,0,4,1,1,0,0,2,1
STUD0575,-1.6812873211548174,3,0,6,1,-1.2817694706595533,4,1,2,2,1,1,0,0,1,0,0,3,0
STUD0576,1.614564629443809,0,0,0,1,-0.9633490725228332,4,0,0,2,4,0,1,0,1,0,1,4,0
STUD0577,0.8821530848663365,0,2,2,1,-1.2817694706595533,3,0,1,0,2,0,4,1,0,0,0,2,1
STUD0578,1.2483588571550728,2,0,1,1,0.9471733162974876,4,0,5,2,4,0,0,1,1,2,0,0,0
STUD0579,0.3328444264332321,2,1,2,1,-0.9633490725228332,4,0,2,1,4,1,3,0,0,2,1,1,1
STUD0580,0.6990501987219684,1,1,2,0,1.584014112570928,4,1,4,1,1,1,2,0,1,2,1,5,0
STUD0581,0.5159473125776002,1,0,4,0,-1.2817694706595533,0,0,4,2,3,1,2,0,0,1,1,5,1
STUD0582,0.8821530848663365,2,1,6,0,0.3103325200240474,3,0,0,0,0,0,2,0,0,2,1,4,1
STUD0583,-0.39956711814424045,0,0,6,0,-1.6001898687962735,3,0,5,0,0,1,4,0,0,1,1,4,0
STUD0584,0.3328444264332321,1,1,1,0,-0.008087878112672791,2,1,4,0,0,0,3,1,0,1,0,0,0
STUD0585,1.614564629443809,3,1,4,0,0.6287529181607675,0,1,3,1,0,0,3,0,0,2,0,4,0
STUD0586,-0.39956711814424045,3,2,3,0,0.6287529181607675,0,0,5,1,0,1,3,0,1,1,1,1,0
STUD0587,-0.5826700042886086,1,2,1,0,1.584014112570928,1,1,5,2,2,0,3,1,1,2,1,3,0
STUD0588,-0.7657728904329767,1,2,2,1,-0.008087878112672791,2,1,4,0,0,1,4,0,1,1,1,5,0
STUD0589,-0.03336134585550418,0,0,3,0,-0.6449286743861131,0,0,3,0,3,0,2,0,0,1,1,0,0
STUD0590,0.8821530848663365,3,1,0,0,-0.008087878112672791,3,1,6,2,1,0,0,1,0,1,1,5,1
STUD0591,-0.7657728904329767,3,0,0,1,-0.008087878112672791,0,1,4,2,1,0,3,1,1,2,0,0,1
STUD0592,0.3328444264332321,0,0,0,1,1.584014112570928,3,1,4,1,2,1,2,0,1,0,1,3,0
STUD0593,-0.2164642319998723,0,0,1,1,0.3103325200240474,4,1,1,1,4,0,3,1,1,0,0,5,1
STUD0594,1.4314617432994408,1,0,4,0,0.6287529181607675,0,1,5,1,0,1,0,2,1,0,1,2,0
STUD0595,0.5159473125776002,2,1,2,0,-0.32650827624939294,4,1,1,0,1,0,0,2,0,2,0,4,0
STUD0596,1.4314617432994408,2,0,5,1,-1.2817694706595533,4,1,3,0,1,0,1,1,0,2,1,1,0
STUD0597,0.14974154028886394,1,2,0,1,-0.6449286743861131,1,1,3,2,1,1,2,1,0,2,1,3,1
STUD0598,-0.7657728904329767,3,2,1,1,-0.6449286743861131,1,0,3,1,3,0,2,1,1,1,1,0,1
STUD0599,1.4314617432994408,3,0,0,1,-0.6449286743861131,4,0,0,1,1,0,2,2,0,2,0,5,1
STUD0600,0.5159473125776002,3,0,1,1,1.584014112570928,3,0,5,1,2,1,3,1,1,2,1,4,1
STUD0601,1.0652559710107046,2,0,2,0,1.2655937144342078,3,1,0,2,1,1,1,0,1,1,1,5,0
STUD0602,-0.7657728904329767,3,2,0,1,-0.9633490725228332,3,1,0,0,4,0,3,1,0,0,1,5,1
STUD0603,-1.4981844350104492,2,2,0,1,0.9471733162974876,1,0,5,2,0,1,0,0,1,1,0,1,0
STUD0604,-0.5826700042886086,3,2,0,0,-0.6449286743861131,1,1,4,1,3,1,2,0,1,1,1,1,1
STUD0605,1.4314617432994408,1,2,2,0,-0.32650827624939294,0,1,2,1,4,0,3,2,0,1,1,5,1
STUD0606,0.6990501987219684,3,2,6,1,-1.2817694706595533,2,0,5,0,0,1,2,0,1,1,0,4,0
STUD0607,-0.7657728904329767,0,1,0,1,-0.9633490725228332,3,1,3,2,4,0,3,2,1,0,0,5,1
STUD0608,-0.03336134585550418,0,0,1,1,0.3103325200240474,2,1,6,2,1,0,2,1,0,0,0,4,0
STUD0609,1.4314617432994408,3,2,6,1,-0.6449286743861131,3,1,4,0,0,1,1,0,0,0,1,3,1
STUD0610,0.14974154028886394,3,1,5,0,-0.9633490725228332,0,0,5,1,0,1,3,2,1,2,1,4,0
STUD0611,-1.6812873211548174,2,1,4,0,-0.6449286743861131,2,1,5,2,3,0,4,2,1,2,0,3,0
STUD0612,-1.4981844350104492,1,0,4,0,-1.2817694706595533,0,1,1,0,3,1,3,0,0,1,0,4,1
STUD0613,-0.7657728904329767,2,2,4,1,1.584014112570928,2,1,4,2,4,1,3,1,0,2,1,3,1
STUD0614,1.2483588571550728,2,2,2,0,-0.32650827624939294,0,1,2,2,2,1,4,0,0,1,1,3,1
STUD0615,0.14974154028886394,3,1,0,0,0.3103325200240474,0,0,2,0,0,1,4,0,1,0,0,1,1
STUD0616,0.3328444264332321,1,0,3,1,0.9471733162974876,4,1,5,2,2,0,2,0,1,1,1,5,1
STUD0617,1.2483588571550728,0,0,0,0,1.584014112570928,4,0,1,2,2,0,0,0,0,2,0,3,1
STUD0618,0.6990501987219684,1,0,4,1,-0.32650827624939294,4,0,3,1,2,1,1,0,1,0,0,2,0
STUD0619,-0.5826700042886086,1,2,1,1,-0.32650827624939294,0,1,3,1,0,1,2,0,1,1,0,1,1
STUD0620,-1.131978662721713,2,2,6,0,-1.2817694706595533,3,1,0,1,1,1,2,1,1,0,0,5,0
STUD0621,1.4314617432994408,0,0,0,1,-0.6449286743861131,3,0,2,0,4,1,4,1,0,1,1,5,1
STUD0622,-1.4981844350104492,2,2,0,1,0.3103325200240474,2,1,6,1,4,0,3,0,0,1,0,0,1
STUD0623,-1.131978662721713,3,0,4,0,-1.6001898687962735,4,0,0,2,4,0,4,2,1,0,1,5,0
STUD0624,-1.3150815488660812,2,2,0,0,-1.2817694706595533,0,1,3,0,0,1,4,1,1,1,1,3,1
STUD0625,-1.3150815488660812,2,0,1,0,1.584014112570928,0,1,5,1,3,0,3,0,1,2,0,3,1
STUD0626,-0.2164642319998723,3,2,6,1,0.9471733162974876,4,1,2,2,2,0,1,1,1,2,0,4,1
STUD0627,-1.6812873211548174,3,1,5,0,1.584014112570928,2,0,0,0,2,0,3,1,0,1,1,3,0
STUD0628,1.4314617432994408,3,1,6,0,-0.008087878112672791,1,1,6,2,2,1,4,1,1,2,0,3,1
STUD0629,-1.6812873211548174,2,0,0,0,-0.6449286743861131,4,1,3,0,0,0,2,0,1,2,1,5,0
STUD0630,-0.39956711814424045,2,0,0,1,-0.008087878112672791,0,1,6,1,3,1,1,0,0,0,1,4,1
STUD0631,-0.7657728904329767,2,1,4,1,-0.32650827624939294,0,1,1,1,3,0,2,0,0,0,1,5,0
STUD0632,-0.7657728904329767,1,1,1,1,-1.6001898687962735,2,1,1,2,3,0,1,1,1,1,0,3,0
STUD0633,1.2483588571550728,1,0,6,0,-0.32650827624939294,2,0,0,0,3,0,4,0,0,0,1,3,1
STUD0634,1.4314617432994408,0,0,2,1,-0.6449286743861131,3,1,1,0,4,1,2,0,0,0,0,5,1
STUD0635,1.614564629443809,2,1,2,1,0.6287529181607675,4,0,1,0,0,0,3,1,1,0,0,4,1
STUD0636,-0.39956711814424045,0,1,1,0,-1.2817694706595533,1,1,5,1,0,0,1,1,0,2,1,5,0
STUD0637,0.5159473125776002,3,2,3,1,-1.2817694706595533,0,0,1,2,3,0,3,0,0,1,1,5,1
STUD0638,-0.03336134585550418,1,1,3,0,-0.32650827624939294,0,0,2,1,2,1,1,0,1,2,1,3,1
STUD0639,1.4314617432994408,2,1,3,1,-1.2817694706595533,4,1,5,1,4,0,4,0,1,2,1,2,0
STUD0640,1.0652559710107046,0,0,1,1,1.584014112570928,3,1,1,0,0,1,0,2,1,2,1,3,0
STUD0641,-1.4981844350104492,2,1,0,0,1.584014112570928,3,1,6,0,0,1,3,0,1,1,0,4,0
STUD0642,-1.4981844350104492,1,2,2,0,-0.008087878112672791,3,1,0,2,4,0,4,0,0,1,0,0,1
STUD0643,-0.5826700042886086,3,0,5,1,1.584014112570928,2,1,5,0,2,1,3,1,0,1,1,0,1
STUD0644,1.0652559710107046,1,2,4,1,-0.32650827624939294,1,1,5,0,0,0,3,2,1,0,0,5,0
STUD0645,1.4314617432994408,2,1,5,0,-0.9633490725228332,1,1,0,2,1,0,1,2,1,2,0,3,0
STUD0646,-0.03336134585550418,1,1,1,1,1.584014112570928,2,0,4,1,0,0,0,1,1,2,0,5,0
STUD0647,-0.7657728904329767,2,0,3,0,1.584014112570928,3,1,6,0,0,1,1,2,1,2,1,5,0
STUD0648,1.614564629443809,2,1,1,0,-0.6449286743861131,3,1,2,2,0,0,1,2,0,2,0,1,1
STUD0649,-0.7657728904329767,3,1,1,0,1.2655937144342078,4,1,0,1,3,1,0,0,1,0,0,0,1
STUD0650,-0.03336134585550418,2,1,6,0,0.9471733162974876,3,0,2,0,1,1,2,2,0,0,1,3,1
STUD0651,-0.39956711814424045,3,0,5,0,-0.6449286743861131,3,0,4,0,2,0,3,2,0,2,1,0,1
STUD0652,-0.7657728904329767,0,1,0,1,0.3103325200240474,1,0,2,1,2,0,3,0,1,0,0,5,1
STUD0653,1.2483588571550728,0,1,5,1,1.2655937144342078,1,0,2,0,1,0,1,1,0,0,1,3,0
STUD0654,-0.2164642319998723,1,0,1,1,-0.008087878112672791,2,1,1,2,0,1,3,2,1,2,1,5,1
STUD0655,1.2483588571550728,0,2,1,0,-0.6449286743861131,4,1,5,2,1,1,4,2,1,0,1,1,1
STUD0656,0.5159473125776002,0,2,2,0,0.9471733162974876,2,0,1,0,0,0,1,0,1,1,1,1,1
STUD0657,-0.39956711814424045,1,0,0,1,0.9471733162974876,3,0,1,0,3,0,2,2,0,2,1,5,0
STUD0658,0.3328444264332321,2,1,3,1,1.2655937144342078,3,0,0,1,4,0,3,0,1,0,1,5,0
STUD0659,0.3328444264332321,2,0,0,0,-0.9633490725228332,0,0,2,2,1,1,0,2,0,2,1,4,0
STUD0660,-0.5826700042886086,2,1,1,0,1.2655937144342078,3,1,4,1,1,1,0,0,0,0,1,5,0
STUD0661,-0.03336134585550418,1,2,2,1,-0.6449286743861131,3,0,3,2,1,1,0,2,0,0,0,2,0
STUD0662,0.5159473125776002,0,2,0,1,1.584014112570928,2,0,6,1,4,0,2,0,1,2,1,0,0
STUD0663,1.614564629443809,0,2,1,1,0.3103325200240474,3,1,6,2,1,1,2,1,1,0,1,2,0
STUD0664,-0.03336134585550418,3,2,1,1,-0.6449286743861131,0,0,6,0,4,1,0,1,0,1,0,5,0
STUD0665,-0.39956711814424045,3,1,3,0,-0.6449286743861131,3,1,6,2,1,1,4,2,1,2,0,3,0
STUD0666,0.8821530848663365,0,2,2,0,-0.9633490725228332,4,0,2,2,1,1,2,0,0,0,1,5,1
STUD0667,0.8821530848663365,3,2,5,1,0.9471733162974876,3,1,0,2,4,0,2,2,1,2,1,1,1
STUD0668,-0.39956711814424045,3,0,2,0,0.6287529181607675,4,1,0,2,2,1,4,0,1,0,1,0,0
STUD0669,1.2483588571550728,2,2,5,0,-0.9633490725228332,2,1,3,1,1,1,1,0,0,1,0,3,1
STUD0670,-1.3150815488660812,3,0,0,1,-0.6449286743861131,4,0,0,2,4,1,2,0,1,1,0,2,1
STUD0671,-0.03336134585550418,1,0,0,0,-0.6449286743861131,0,1,4,1,0,0,0,0,0,2,1,0,0
STUD0672,1.0652559710107046,0,1,0,1,-0.6449286743861131,2,1,3,0,4,0,0,0,0,2,0,3,0
STUD0673,1.4314617432994408,1,2,0,1,-1.2817694706595533,3,1,5,2,2,0,2,1,0,1,0,2,1
STUD0674,1.614564629443809,0,1,2,0,0.6287529181607675,1,0,4,1,2,0,0,1,0,2,0,3,1
STUD0675,1.0652559710107046,0,2,6,0,0.9471733162974876,4,0,1,2,4,1,2,1,0,1,0,5,0
STUD0676,0.8821530848663365,2,1,3,1,1.584014112570928,1,0,6,0,1,1,3,2,1,0,1,3,1
STUD0677,-1.3150815488660812,2,1,1,0,-0.9633490725228332,4,1,2,1,0,0,2,0,0,2,1,4,0
STUD0678,1.0652559710107046,3,2,2,1,1.2655937144342078,0,1,3,2,0,1,1,1,1,2,0,0,0
STUD0679,-0.9488757765773448,3,2,6,0,-0.008087878112672791,1,1,2,1,0,1,0,0,0,0,1,0,0
STUD0680,-0.7657728904329767,2,0,4,1,0.6287529181607675,3,1,5,1,2,1,2,2,0,1,1,1,0
STUD0681,-0.5826700042886086,2,2,4,0,1.584014112570928,3,1,4,2,4,1,2,2,0,0,0,2,0
STUD0682,-0.03336134585550418,0,1,6,0,-0.9633490725228332,1,1,1,0,4,0,4,1,1,2,1,0,1
STUD0683,-1.6812873211548174,0,1,5,0,0.6287529181607675,0,1,2,2,4,0,2,1,0,2,0,3,0
STUD0684,1.0652559710107046,0,2,0,1,1.584014112570928,3,0,1,0,0,1,2,0,1,2,1,0,0
STUD0685,0.14974154028886394,2,2,2,0,-0.6449286743861131,4,1,2,1,2,1,4,1,1,0,1,1,1
STUD0686,-1.131978662721713,2,1,4,0,0.9471733162974876,2,1,5,0,0,1,2,2,1,1,0,3,1
STUD0687,-1.6812873211548174,0,1,1,1,0.3103325200240474,2,0,0,1,2,0,0,0,1,0,1,0,1
STUD0688,0.6990501987219684,2,0,6,0,-1.6001898687962735,0,1,0,1,0,0,4,2,1,1,0,1,0
STUD0689,1.4314617432994408,3,2,0,0,0.6287529181607675,2,0,4,0,4,0,1,2,0,0,1,1,0
STUD0690,0.14974154028886394,3,2,2,1,-1.6001898687962735,2,0,4,1,0,1,2,1,1,1,0,1,1
STUD0691,-1.6812873211548174,0,2,3,1,-0.9633490725228332,0,0,0,0,1,0,0,1,1,1,0,5,0
STUD0692,0.5159473125776002,0,0,6,1,-1.2817694706595533,3,0,4,0,3,1,0,2,0,0,0,2,1
STUD0693,-1.4981844350104492,3,0,2,0,0.6287529181607675,1,1,2,2,4,0,2,1,1,0,1,3,0
STUD0694,0.14974154028886394,2,2,2,0,1.584014112570928,2,0,3,0,2,1,2,0,0,2,0,0,1
STUD0695,1.4314617432994408,3,2,0,0,-0.32650827624939294,1,0,4,2,1,0,0,0,1,2,1,3,1
STUD0696,-0.7657728904329767,3,2,0,1,-0.32650827624939294,4,1,1,2,2,0,2,2,0,2,1,3,1
STUD0697,1.0652559710107046,0,2,2,1,-0.008087878112672791,1,1,2,0,4,1,0,1,1,1,0,2,0
STUD0698,-0.2164642319998723,2,1,3,1,-0.008087878112672791,3,1,5,0,1,1,2,0,1,2,0,0,1
STUD0699,0.6990501987219684,0,2,4,1,-0.6449286743861131,0,1,3,2,2,0,1,2,0,1,0,3,1
STUD0700,-1.131978662721713,2,0,6,0,-1.2817694706595533,2,1,4,0,0,0,2,0,0,2,0,2,1
STUD0701,-0.39956711814424045,3,2,0,0,-0.32650827624939294,4,1,1,1,4,0,2,1,1,2,0,0,1
STUD0702,-0.03336134585550418,0,1,4,1,-1.2817694706595533,3,0,0,2,4,1,1,1,1,0,1,5,1
STUD0703,1.4314617432994408,2,0,1,1,0.6287529181607675,4,1,5,0,0,0,0,1,1,0,1,1,0
STUD0704,-1.4981844350104492,0,2,6,1,-0.008087878112672791,0,1,3,0,0,1,2,2,1,1,1,1,0
STUD0705,-0.2164642319998723,0,2,6,0,-1.2817694706595533,2,0,1,2,2,1,2,1,0,0,1,0,0
STUD0706,1.2483588571550728,0,1,4,0,0.3103325200240474,1,0,0,2,4,0,3,1,1,0,1,3,1
STUD0707,-1.131978662721713,3,0,2,1,-0.32650827624939294,0,0,2,0,2,1,0,2,0,1,1,3,0
STUD0708,1.0652559710107046,0,0,5,1,0.6287529181607675,1,1,5,0,1,0,0,2,1,0,0,3,1
STUD0709,0.5159473125776002,0,2,3,1,-1.2817694706595533,4,1,0,1,1,0,3,1,1,1,0,1,0
STUD0710,-0.39956711814424045,1,1,5,1,-0.6449286743861131,1,1,5,2,0,1,1,0,1,0,1,5,0
STUD0711,0.5159473125776002,1,2,6,0,-0.32650827624939294,4,0,0,0,1,1,0,0,1,0,1,1,0
STUD0712,-0.5826700042886086,3,2,5,1,-0.32650827624939294,2,0,2,1,4,0,0,0,0,0,1,3,1
STUD0713,-1.3150815488660812,2,2,1,1,-0.008087878112672791,4,1,2,2,1,0,4,2,1,1,1,3,0
STUD0714,1.614564629443809,0,1,3,1,0.3103325200240474,2,1,4,2,0,1,3,1,1,2,0,0,1
STUD0715,1.614564629443809,1,0,6,1,0.6287529181607675,4,1,1,0,0,0,0,1,0,2,0,5,0
STUD0716,-0.2164642319998723,1,1,4,1,-1.2817694706595533,3,0,2,0,3,0,4,2,0,2,0,1,1
STUD0717,-1.4981844350104492,1,2,3,1,1.584014112570928,4,0,2,2,3,0,3,0,1,0,1,5,0
STUD0718,-0.39956711814424045,3,1,5,0,1.2655937144342078,0,0,4,0,0,0,3,1,1,2,1,1,0
STUD0719,-1.3150815488660812,2,2,1,1,1.2655937144342078,3,1,4,2,2,0,0,2,0,1,0,1,1
STUD0720,-0.7657728904329767,2,0,2,1,0.3103325200240474,3,0,6,0,4,0,3,2,0,0,0,4,0
STUD0721,-0.03336134585550418,1,0,2,1,-1.2817694706595533,0,0,5,2,2,1,4,1,1,2,0,1,0
STUD0722,1.2483588571550728,2,1,0,1,-0.6449286743861131,2,0,5,0,3,0,2,0,0,1,0,2,1
STUD0723,-0.5826700042886086,3,2,0,0,-0.32650827624939294,3,1,3,1,1,1,1,1,1,2,1,5,1
STUD0724,-0.2164642319998723,0,1,2,0,-0.32650827624939294,4,1,1,1,1,0,4,0,0,2,1,0,0
STUD0725,1.4314617432994408,3,2,3,0,0.6287529181607675,3,1,2,2,1,0,2,1,0,0,1,5,1
STUD0726,0.14974154028886394,2,0,3,1,1.584014112570928,2,0,1,1,2,0,0,2,0,0,0,4,1
STUD0727,-0.39956711814424045,2,0,4,0,-0.008087878112672791,3,0,3,1,2,1,1,1,1,2,1,5,1
STUD0728,1.4314617432994408,0,1,4,0,1.2655937144342078,4,0,6,1,0,1,1,2,0,0,1,2,0
STUD0729,0.14974154028886394,1,0,4,0,0.6287529181607675,0,1,3,2,4,1,1,0,0,0,0,0,0
STUD0730,-0.2164642319998723,0,2,5,1,0.9471733162974876,4,1,4,0,1,1,0,0,1,1,0,5,1
STUD0731,0.8821530848663365,1,1,6,0,-0.32650827624939294,1,0,3,1,2,1,4,0,1,1,0,1,1
STUD0732,0.5159473125776002,2,2,1,1,-0.32650827624939294,2,0,3,1,2,0,2,1,1,0,0,5,0
STUD0733,0.5159473125776002,0,2,6,1,0.3103325200240474,1,0,6,1,0,1,2,1,0,0,1,4,0
STUD0734,0.6990501987219684,0,1,4,1,-1.6001898687962735,0,1,2,1,1,0,4,2,0,0,1,5,1
STUD0735,1.4314617432994408,1,1,1,1,-0.9633490725228332,2,1,5,0,1,1,1,0,1,1,0,0,1
STUD0736,-0.7657728904329767,1,0,6,0,-0.32650827624939294,2,1,2,2,2,1,4,1,1,1,1,3,0
STUD0737,-0.39956711814424045,2,0,5,1,1.584014112570928,0,0,2,2,4,0,3,0,1,2,1,2,0
STUD0738,-1.4981844350104492,3,1,0,0,1.584014112570928,2,1,0,0,4,1,4,0,0,1,0,1,1
STUD0739,0.6990501987219684,1,2,5,0,-1.6001898687962735,3,0,6,0,0,1,0,2,0,2,0,5,1
STUD0740,-0.5826700042886086,3,2,3,1,0.9471733162974876,4,0,1,2,2,1,4,2,1,1,0,1,1
STUD0741,1.614564629443809,2,1,6,1,-1.6001898687962735,4,1,2,1,1,1,1,1,0,2,1,3,1
STUD0742,-0.2164642319998723,0,1,2,1,0.6287529181607675,4,0,5,1,4,0,2,0,1,2,0,3,0
STUD0743,-1.6812873211548174,1,1,4,1,0.9471733162974876,3,0,0,2,0,0,1,1,1,1,0,4,0
STUD0744,-0.7657728904329767,2,0,2,1,-1.2817694706595533,3,0,4,0,4,1,1,2,0,0,1,1,0
STUD0745,1.0652559710107046,3,2,1,1,1.2655937144342078,0,1,1,2,4,1,3,0,0,0,0,4,0
STUD0746,-0.2164642319998723,0,1,4,1,1.2655937144342078,3,1,1,1,2,1,2,0,0,2,0,1,0
STUD0747,-0.7657728904329767,0,2,2,1,-0.6449286743861131,2,1,4,1,4,1,1,1,1,2,1,3,0
STUD0748,-0.39956711814424045,2,1,2,1,1.584014112570928,2,0,5,0,4,1,0,2,1,2,1,1,1
STUD0749,1.614564629443809,1,1,6,0,-0.9633490725228332,1,0,5,0,0,1,3,1,0,1,0,2,0
STUD0750,0.8821530848663365,2,2,0,0,0.9471733162974876,4,0,6,1,4,1,1,0,1,1,0,1,0
STUD0751,1.4314617432994408,2,2,4,1,-1.2817694706595533,3,1,5,1,3,0,1,0,0,2,1,5,0
STUD0752,-1.131978662721713,0,2,6,1,1.584014112570928,3,1,2,2,0,1,2,0,1,2,1,0,1
STUD0753,0.3328444264332321,0,1,3,0,-1.6001898687962735,1,0,5,0,0,1,0,1,1,0,1,1,0
STUD0754,-0.39956711814424045,2,1,1,1,1.584014112570928,2,0,2,0,0,0,2,2,1,2,0,0,1
STUD0755,-1.6812873211548174,1,0,6,1,-0.008087878112672791,4,0,3,2,3,1,1,0,0,2,1,2,1
STUD0756,1.2483588571550728,0,2,3,1,0.3103325200240474,0,1,5,0,4,1,3,1,0,1,0,3,1
STUD0757,-0.9488757765773448,2,0,0,0,-0.008087878112672791,0,1,1,2,2,0,1,0,1,0,0,2,1
STUD0758,0.5159473125776002,2,2,1,1,-0.6449286743861131,2,0,3,1,4,1,0,1,0,0,1,0,0
STUD0759,-0.2164642319998723,2,2,5,0,-0.008087878112672791,1,0,0,0,1,0,3,0,1,0,0,0,1
STUD0760,-1.3150815488660812,1,1,4,1,-0.008087878112672791,4,1,4,1,4,1,3,1,1,2,0,4,0
STUD0761,0.8821530848663365,3,2,3,1,1.584014112570928,3,0,1,0,3,1,2,0,1,0,0,2,1
STUD0762,1.0652559710107046,0,1,5,1,-0.6449286743861131,1,0,0,1,2,0,2,2,0,1,0,4,0
STUD0763,0.8821530848663365,3,1,5,0,0.9471733162974876,3,0,3,2,4,0,4,0,1,2,1,4,0
STUD0764,0.3328444264332321,2,0,5,1,0.3103325200240474,3,1,4,0,1,0,3,2,1,1,1,5,1
STUD0765,-1.4981844350104492,1,2,2,1,1.2655937144342078,4,0,6,1,1,1,4,2,0,0,1,4,1
STUD0766,-0.5826700042886086,1,1,0,1,0.9471733162974876,2,0,3,1,0,1,1,2,1,2,0,2,0
STUD0767,-1.6812873211548174,2,2,1,0,0.6287529181607675,1,0,2,2,4,0,0,0,0,1,1,4,0
STUD0768,-0.39956711814424045,1,0,2,1,0.6287529181607675,0,1,3,1,3,1,4,2,0,2,0,1,0
STUD0769,-0.9488757765773448,3,1,5,0,1.2655937144342078,0,1,1,2,4,0,4,1,0,0,1,3,0
STUD0770,1.4314617432994408,1,1,1,1,-0.008087878112672791,4,1,4,0,2,0,3,0,1,0,0,1,1
STUD0771,-1.3150815488660812,2,2,1,0,-0.32650827624939294,0,1,3,1,3,0,1,0,0,0,0,1,1
STUD0772,-0.2164642319998723,3,1,0,0,-0.9633490725228332,0,0,5,1,4,0,0,1,1,0,1,4,0
STUD0773,-1.3150815488660812,1,2,0,1,-0.32650827624939294,2,1,6,1,1,1,4,1,0,2,1,3,0
STUD0774,-1.131978662721713,1,1,6,1,-0.6449286743861131,0,1,6,1,0,1,4,0,0,0,1,2,0
STUD0775,1.4314617432994408,2,0,1,0,1.2655937144342078,1,1,1,0,1,1,4,0,1,1,0,0,0
STUD0776,0.5159473125776002,2,2,2,0,1.2655937144342078,3,0,6,0,3,1,0,1,1,1,1,0,1
STUD0777,-0.2164642319998723,0,1,5,1,-1.6001898687962735,1,0,6,2,2,1,0,2,1,2,1,0,0
STUD0778,-0.9488757765773448,3,0,5,0,-0.6449286743861131,4,1,6,1,1,0,4,0,1,0,0,4,0
STUD0779,1.4314617432994408,2,2,0,1,-0.6449286743861131,1,0,0,0,1,1,4,1,1,2,1,0,1
STUD0780,-1.6812873211548174,3,2,1,1,0.3103325200240474,0,1,3,1,4,0,3,0,0,2,1,0,1
STUD0781,1.614564629443809,0,1,4,0,-0.6449286743861131,0,1,3,0,4,1,3,2,1,1,1,0,0
STUD0782,1.4314617432994408,0,0,3,0,1.584014112570928,4,1,3,0,0,1,2,0,1,1,1,1,0
STUD0783,0.5159473125776002,2,2,5,0,0.6287529181607675,3,1,1,1,3,0,2,2,0,2,1,1,0
STUD0784,-0.7657728904329767,1,2,5,1,0.6287529181607675,4,0,4,2,1,1,2,1,0,0,0,1,1
STUD0785,-1.3150815488660812,3,1,2,1,0.9471733162974876,0,0,1,2,0,1,3,1,0,1,0,2,1
STUD0786,0.5159473125776002,0,2,4,1,1.2655937144342078,0,0,3,0,4,1,0,2,1,0,0,5,1
STUD0787,-0.39956711814424045,3,1,6,0,0.6287529181607675,0,0,0,2,3,1,3,1,0,1,1,5,0
STUD0788,0.8821530848663365,3,2,0,1,1.584014112570928,1,0,4,2,3,0,1,1,1,0,1,2,1
STUD0789,0.8821530848663365,2,1,1,0,-0.6449286743861131,4,1,5,2,4,0,0,2,0,0,1,3,1
STUD0790,-0.03336134585550418,1,1,1,0,0.3103325200240474,4,0,4,2,3,1,3,0,0,2,1,1,1
STUD0791,-0.7657728904329767,3,1,1,0,-1.2817694706595533,1,0,1,2,1,0,2,2,1,2,0,2,1
STUD0792,-1.6812873211548174,1,0,4,0,-0.008087878112672791,4,1,1,1,1,1,2,1,1,2,1,0,1
STUD0793,1.614564629443809,2,2,2,1,-0.6449286743861131,1,0,6,1,4,1,1,1,1,0,1,0,1
